,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Method,Data Type,Region
540,Multiple Hybrid AI Model-based Optimal Charging Profile of Lithium-ion Battery for SOH Enhancement,R. S K; R. S; S. S; P. Natarajan,"Department of Instrumentation Engineering, Madras Institute of Technology Campus, Anna University, Chennai, India; Department of Instrumentation Engineering, Madras Institute of Technology Campus, Anna University, Chennai, India; Department of Instrumentation Engineering, Madras Institute of Technology Campus, Anna University, Chennai, India; Department of Instrumentation Engineering, Madras Institute of Technology Campus, Anna University, Chennai, India","2023 IEEE International Conference on Power Electronics, Smart Grid, and Renewable Energy (PESGRE)",31-Jan-24,2023,,,1,6,"Battery is one of the major components of electric vehicles, which highly influences the performance of Electric Vehicles (EVs). However, enhancing the life of a Lithium-ion (Li-ion) battery is a challenging task because they have a high risk of fire hazards due to the electrochemical properties of Li-ion. Various key factors that have a significant influence on the health of the battery include a number of charge-discharge cycles, temperature, voltage, and current profiles. Hence, a highly efficient Battery Management System (BMS) with an optimal charging facility is needed. The main objective of the proposed work is to generate Multiple Hybrid Artificial Intelligence (MHAI)-based optimal charging current profiles for Li-ion batteries with minimum charging time and temperature rise in order to enhance the State Of Health (SOH). In this work, an open-source dataset of Li-ion-18650 from the National Aeronautics and Space Administration (NASA) was used. Firstly, the battery charging profile range from 0 to 100% is divided into 4 groups (0-25%, 26-50%, 51-75%,76-100%), and four hybrid AI models are developed and validated. to find the optimal charging current in each of the 4 regions instead of using a single AI model for the entire charging profile. For model development, temperature, maximum chargeable capacity, and charging time are considered as outputs, and charging voltage and current are taken as inputs. Long Short Term Memory (LSTM), Random Forest (RF), and Coulomb Counting (White Box Model) are used to develop models to predict temperature, maximum chargeable capacity, and charging time, respectively. Finally, Particle Swarm Optimization (PSO) is used to find the optimal current value for the developed models to minimize both the charging time and temperature rise using the weighted-sum method of the MultiObjective Particle Swarm Optimization (MOPSO) technique. The results show the feasibility of the proposed approach.",,979-8-3503-1057-3,10.1109/PESGRE58662.2023.10404727,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10404727,MHAI;SOH;LSTM;data-driven;PSO;optimal charging;MOPSO,Lithium-ion batteries;Voltage;Predictive models;Hybrid power systems;State of charge;Artificial intelligence;Long short term memory,,,,15.0,IEEE,31-Jan-24,,,IEEE,IEEE Conferences,['optimization'],['weather data'],[]
541,Climate Change Effects on Grid Infrastructure and a Focused Review of Oregon Response Opportunities,M. U. Nakmali,"Power Delivery Services Leidos, Portland, OR",2024 IEEE/PES Transmission and Distribution Conference and Exposition (T&D),08-Jul-24,2024,,,1,5,"As the earth’s average temperature grows hotter, many areas across the globe are experiencing changes to climate. This can cause larger temperature swings and increase incidents of severe weather. This poses a threat to the utility grid through weather hazards, such as excessive heat, wildfires, high winds, and floods. Climate can also cause indirect effects on the utility grid like an increase in energy demand above available supply. These direct and indirect effects require mitigating actions and long-term management. This paper will identify general trends of climate change and notable hazards to be aware of, explain the responses of grid infrastructure, and take a focused look at Oregon’s change in climate and possible response opportunities.",2160-8563,979-8-3503-1637-7,10.1109/TD47997.2024.10556181,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10556181,Climate adaptation;fragility curves;Oregon;resilience;severe weather,Heating systems;Climate change;Wind;Wildfires;Market research;Floods;Weather forecasting;Temperature measurement;Power grids;Hazardous areas,,,,17.0,IEEE,08-Jul-24,,,IEEE,IEEE Conferences,[],['weather data'],['USA']
542,Impact of Climate Change on Global Food Supply using Machine learning Algorithms,K. Rage; R. Manaswini; A. Gayathri; G. Sharandeep,"Department of CSE(Data Science), B V Raju Institute of Technology, Narsapur, Telangana, India; Department of CSE(Data Science), B V Raju Institute of Technology, Narsapur, Telangana, India; Department of CSE(Data Science), B V Raju Institute of Technology, Narsapur, Telangana, India; Department of CSE(Data Science), B V Raju Institute of Technology, Narsapur, Telangana, India","2024 International Conference on Advances in Computing, Communication and Applied Informatics (ACCAI)",25-Jul-24,2024,,,1,6,"Human life is significantly impacted by both agriculture and climate change. These effects of climatic variability, like severity of droughts, fires, storms, floods, have gradually come into view. Environmental resources and agricultural practices, on which we strongly rely, are altering as part of the whole ecosystem. As a result, one of the biggest problems faced by mankind today is climate change. Climate change poses a serious threat to global food supply, impacting crop yields and food security. Increasing temperatures, altered precipitation distributions, and extreme weather events disrupt agricultural systems. Urgent mitigation and adaptation strategies are essential to guarantee the sustainability of food production and address the evolving challenges induced by climate change. Machine learning may help society adjust to these changes while also reducing the negative impacts of changes in weather. Understanding how the climate is altering and, predicting how it will affect the world’s food supply/production in the long run is the main objective of this project.",,979-8-3503-8944-9,10.1109/ACCAI61061.2024.10602468,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10602468,Decision Tree;Climate Change;Food supply;Crop yieldt,Climate change;Analytical models;Temperature distribution;Accuracy;Storms;Food security;Predictive models,,,,16.0,IEEE,25-Jul-24,,,IEEE,IEEE Conferences,['machine learning'],['weather data'],['Global']
543,Temperature Prediction for Electric Vehicles using Machine Learning Algorithms,S. Kishore; S. K. Bharti; P. Anand; D. Srivastav; S. Sonali,"EEE Department of Birla Institute of Technology, Mesra, Ranchi, India; EEE Department of Birla Institute of Technology, Mesra, Ranchi, India; EEE Department of Birla Institute of Technology, Mesra, Ranchi, India; EEE Department of Birla Institute of Technology, Mesra, Ranchi, India; EEE Department of Birla Institute of Technology, Mesra, Ranchi, India",IEEE Transactions on Industry Applications,,2024,PP,99.0,1,10,"The development of precise, efficient, and cost-effective temperature prediction algorithms to maintain the ambient charging and operational environment of electric vehicles (EVs) has gained significance in recent times. Machine learning algorithms are widely used for prediction and decision-making processes due to the growing presence of optimized statistical models based on training datasets, that are far superior to conventional computational statistical methods. In this work, a temperature dataset has been generated in real-time from an IoT and temperature sensor-based hardware, clipped-on the casing of a vehicle, pre-possessed and fitted into optimized models so that future values of temperature can be accurately predicted using different supervised regression machine learning algorithms. The predicted temperatures have been compared with the actual recorded temperatures and a statistical error analysis has been done to compare the results based on the Mean Absolute Error (MAE), Mean Squared Error (MSE), Root Mean Squared Error (RMSE), R-Square (R2) and adjusted R2 Score. The advantage of this methodology is that it is independent of system parameters, and that any future values of critically high temperature may be predicted before they occur, so that drivers can be alerted and take corrective measures before actual damage takes place. This methodology may be applied to prevent incidents of fire in EV batteries, energy wastage due to high temperatures during charging or normal running, and to enhance passenger comfort.",1939-9367,,10.1109/TIA.2024.3456753,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670538,Regression;Machine Learning;Temperature Prediction;Random Forest;R-Square,Temperature sensors;Temperature measurement;Machine learning algorithms;Predictive models;Monitoring;Batteries;Prediction algorithms,,,,,IEEE,10-Sep-24,,,IEEE,IEEE Early Access Articles,['machine learning'],['weather data'],[]
544,Global warming on your doorstep,C. Hayes,,Engineering & Technology,04-Apr-24,2023,18,8.0,20,23,"At the end of last year, the United Nations Foundation reflected that 2022 was a “split screen” in terms of climate change. The world, it said, had taken “several important steps to curb the climate crisis while its impacts continued to worsen”, reminding us of the “increasingly severe and irreversible consequences” of an increase in temperature with floods, record-breaking heatwaves, severe drought in Africa, forest fires and cyclones throughout the year.",1750-9637,,10.1049/et.2023.0804,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10492919,,Global warming;Ocean temperature;Cyclones;Rain;Precipitation;Forestry;Sea surface;Storms;Rivers;Oceans;Droughts;Climate change;Solar power generation;Wide area networks;Remote sensing;Environmental monitoring;Global navigation satellite system,,,,,,04-Apr-24,,,IET,IET Magazines,[],['weather data'],[]
545,"Lead Acid Battery Parameters Identification, Modelling and Testing Applied for a Hybrid-Electric Funicular Concept",Ş. Paula; S. Ursache; C. Oprea; G. Chindriș; M. Ruba; R. Ințe; A. Zinveli; C. Marțiș,"Dpt. of Electrical Machines and Drives, Technical University of Cluj-Napoca, Cluj Napoca, Romania; Dpt. of Electrical Machines and Drives, Technical University of Cluj-Napoca, Cluj Napoca, Romania; Dpt. of Electrical Machines and Drives, Technical University of Cluj-Napoca, Cluj Napoca, Romania; Dpt. of Applied Electronics Department, Technical University of Cluj-Napoca, Cluj Napoca, Romania; Dpt. of Applied Electronics Department, Technical University of Cluj-Napoca, Cluj Napoca, Romania; Dpt. of Applied Electronics Department, Technical University of Cluj-Napoca, Cluj Napoca, Romania; Dpt. of Design Engineering and Robotics, Technical University of Cluj-Napoca, Cluj Napoca, Romania; Dpt. of Electrical Machines and Drives, Technical University of Cluj-Napoca, Cluj Napoca, Romania","2024 IEEE International Conference on Automation, Quality and Testing, Robotics (AQTR)",14-Jun-24,2024,,,1,6,"The present paper introduces a new concept in the field of vehicle electrification, referring not to a cargo or passenger one but to a funicular. The latter’s operation is normally based on an internal combustion diesel engine. In order to align such an application with the current trends in field of electrification, a project was developed to develop a hybrid solution. The requirements were based on the philosophy that during its operation, the funicular can recover a large quantity of energy during log’s downhill, as the system actually must operate as brake. Studies were engaged when decisioning on the chemistry, Li ion or Lead Acid. The latter one handshake well with operating cycles of a funicular as well as low temperature exposure in forest has less impact on the battery performances. Even more, safety-wise, the Lead Acid cells are not susceptible for fire in case of faults, that is mandatory regulation in forest exploitations. To design and study this system, a complex simulation environment had to be developed, mixing Simcenter Amesim software (for the mechanics) with MATLAB Simulink (for the batteries). Nevertheless, precise battery parameters identification and modelling required processes that are detailed in the paper.",1844-7872,979-8-3503-6193-3,10.1109/AQTR61889.2024.10554149,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10554149,hybrid electric;battery;lead acid;funicular;simulation;experimental validation,Lead acid batteries;Parameter estimation;Philosophical considerations;Software packages;Diesel engines;Forestry;Lead,,,,6.0,IEEE,14-Jun-24,,,IEEE,IEEE Conferences,['simulation'],['weather data'],[]
546,U.S. Wildfire Risks and Prevention,T. Sherpa; E. Abdelfattah; K. Miyamoto; T. L. Torre,"School of Theoretical & Applied Science Ramapo College of New Jersey, Mahwah, NJ; School of Theoretical & Applied Science Ramapo College of New Jersey, Mahwah, NJ; School of Theoretical & Applied Science Ramapo College of New Jersey, Mahwah, NJ; School of Theoretical & Applied Science Ramapo College of New Jersey, Mahwah, NJ",2022 IEEE 12th Annual Computing and Communication Workshop and Conference (CCWC),04-Mar-22,2022,,,377,384,"Wildfires have recently become widely discussed as a major concern for the climate and the ecosystem. Wildfires are a natural part of the ecosystem but there can be various causes ranging from natural means like lightning to human-related activities. This study illustrates that most wildfires are caused by humans rather than natural causes and shows that preventing just the start causes may help reduce the number of wildfire occurrences. Although there can be many causes, factors like temperature, wind speeds, humidity, precipitation, and vegetation that influence the risks of wildfires. This study investigates the relationship between these variables and wildfire sizes to realize ways of reducing wildfires. The work demonstrates that weather patterns like El Nino and La Nina strongly affect the occurrences of wildfires in certain regions of the U.S. It is also shown that there is a greater dependence of fire sizes with fluctuation in precipitation values. The study also shows that wildfires are more prone in the summer and in regions that are known to have hot and drier climates. The analysis of the attributes of large-scale wildfires also verifies that wildfires are affected by seasons, locations, and weather factors.",,978-1-6654-8303-2,10.1109/CCWC54503.2022.9720823,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9720823,Wildfires;El Nino;La Nina,Temperature;Fluctuations;Conferences;Wind speed;Ecosystems;Fires;Lightning,,,,13.0,IEEE,04-Mar-22,,,IEEE,IEEE Conferences,[],['weather data'],[]
547,Experimental Study on the Influence of Wildfires on the Insulation Characteristics of 35kV Transmission Lines,J. Yang; W. Li; T. Chen; N. Yang; C. Yang,"College of Nuclear Technology and Automation Engineering, Chengdu University of Technology, Chengdu, China; College of Nuclear Technology and Automation Engineering, Chengdu University of Technology, Chengdu, China; College of Nuclear Technology and Automation Engineering, Chengdu University of Technology, Chengdu, China; College of Nuclear Technology and Automation Engineering, Chengdu University of Technology, Chengdu, China; College of Nuclear Technology and Automation Engineering, Chengdu University of Technology, Chengdu, China",2022 IEEE/IAS Industrial and Commercial Power System Asia (I&CPS Asia),18-Nov-22,2022,,,154,158,"In recent years, transmission lines have been affected by wildfires and tripping frequently, which has seriously affected the safe and stable operation of the transmission network. In this paper, an experimental research platform was designed and built on the impact of wildfire on the safe operation of 35kV transmission lines, a flame-affected gas gap breakdown voltage test was designed and built, a simulated mountain fire was lit by using a wooden stack fire, the characteristics of the three-phase voltage of the transmission line, the leakage current of the wire to the ground, and the opening triangular voltage change characteristics of the transmission line under the conditions of the mountain fire were studied, the effect of the flame on the breakdown voltage was studied, and the effect of flame temperature, flame height, plasma, etc. on the insulation of the 35kV transmission line was studied. Experimental results show that wildfires can cause single-phase grounding and phase-to-phase short circuits of transmission lines, and single-phase grounding and phase-to-phase short circuits are the result of the combined action of temperature and flame, of which temperature and flame are the main factors causing breakdown. The phenomenon that the transmission line discharges the flame and the voltage of a certain phase affected by the flame is significantly lower than that of other phases during the test process is studied, and the reasons and laws of the influence of the wildfire on the 35kV transmission line are obtained. This paper provides a reference for the follow-up study of the fault mechanism of 35 kV transmission lines caused by wildfires and the proposed corresponding protection measures.",,978-1-6654-5066-9,10.1109/ICPSAsia55496.2022.9949846,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9949846,wildfire;35kV transmission line;insulation characteristics;experimental study,Breakdown voltage;Temperature distribution;Insulation;Power transmission lines;Electric breakdown;Wires;Fires,,,,20.0,IEEE,18-Nov-22,,,IEEE,IEEE Conferences,['wireless sensor networks'],['weather data'],[]
548,Equipment Hardening Strategies to Improve Distribution System Resilience against Wildfire,S. Talebi; M. Vakilian; M. Bahrami; M. Lehtonen,"Electrical Engineering Department and Center of Excellence in Power System Mangement and Contol, Sharif University of Technology, Tehran, Iran; Electrical Engineering Department and Center of Excellence in Power System Mangement and Contol, Sharif University of Technology, Tehran, Iran; Electrical Engineering Department and Center of Excellence in Power System Mangement and Contol, Sharif University of Technology, Tehran, Iran; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland",2022 International Conference on Smart Energy Systems and Technologies (SEST),28-Sep-22,2022,,,1,6,"This paper proposes an optimal hardening strategy for improving the distribution system resilience against any approaching wildfire. In this paper, three hardening strategies are taken into account, namely: 1. Vegetation management 2. Pole upgrading 3. Undergrounding overhead distribution branches. Subsequently, the optimal strategies are determined based on the available resources. The problem is expressed in terms of a mixed integer linear programming (MILP) optimization problem. A modified wildfire model is employed to simulate the impacts of approaching wildfire, on overhead distribution lines. In addition, the effects of different vegetation types on the progression of wildfire toward nearby distribution lines and subsequently the rise of those lines conductors’ temperature are analyzed through the presented framework. The modified IEEE 15-bus distribution test system is studied by this framework to demonstrate its effectiveness.",,978-1-6654-0557-7,10.1109/SEST53650.2022.9898416,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9898416,Distribution system resilience;hardening strategies;undergrounding;vegetation management;wildfire,Fault tolerance;Temperature distribution;Fires;Vegetation;Power distribution lines;Mixed integer linear programming;Optimization,,,,15.0,IEEE,28-Sep-22,,,IEEE,IEEE Conferences,['optimization'],['weather data'],[]
549,Wildfire Detection and Burned Area Estimation Based on Multi-source Spatial Data,L. Weng; R. Luo; M. Huang; C. Wang; L. Chen,"Fujian Key Laboratory of Sensing and Computing for Smart City, School of Informatics, Xiamen University, Xiamen, China; Fujian Key Laboratory of Sensing and Computing for Smart City, School of Informatics, Xiamen University, Xiamen, China; Fujian Key Laboratory of Sensing and Computing for Smart City, School of Informatics, Xiamen University, Xiamen, China; Fujian Key Laboratory of Sensing and Computing for Smart City, School of Informatics, Xiamen University, Xiamen, China; Fujian Key Laboratory of Sensing and Computing for Smart City, School of Informatics, Xiamen University, Xiamen, China","2022 IEEE Smartworld, Ubiquitous Intelligence & Computing, Scalable Computing & Communications, Digital Twin, Privacy Computing, Metaverse, Autonomous & Trusted Vehicles (SmartWorld/UIC/ScalCom/DigitalTwin/PriComp/Meta)",27-Jul-23,2022,,,1502,1507,"Forest is an important part of the global ecosystem and is of great significance to the sustainable development of the ecological environment. As the rising temperatures of the earth, forests become increasingly dry and wildfires occur more frequently, which brings great losses to global forest resources and the safety of individuals’ lives. Therefore, wildfire detection is of great significance for environment protection. Recently, thermal infrared remote sensing shows the advantages of wide coverage and long observation time, which provides an important technology for the identification of large-scale and all-weather wildfires. In this paper, we use remote sensing data to detect wildfires by leveraging deep learning algorithm and estimate burned areas. Specifically, We first investigate the characteristics of wildfires in thermal infrared remote sensing imagery and make a dataset, and then train a Faster R-CNN model to detect hotspots. Next, we filter out nonforest areas to discover wildfire by fusing the global forest cover map. Finally, we estimate the burned area through the changes of the Normalized Difference Vegetation Index (NDVI) and Normalized Burn Ratio (NBR) of remote sensing images before and after wildfire. Results show that our method can accurately detect wildfires with F1-Score of 0.881 and error of the burned area estimation is 1.18%, and it is certified on social media.",,979-8-3503-4655-8,10.1109/SmartWorld-UIC-ATC-ScalCom-DigitalTwin-PriComp-Metaverse56740.2022.00217,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10189719,wildfire detection;remote sensing imagery;deep learning;multi-source data fusion.,Temperature sensors;Biological system modeling;Fires;Vegetation mapping;Estimation;Data integration;Forestry,,,,20.0,IEEE,27-Jul-23,,,IEEE,IEEE Conferences,"['machine learning', 'remote sensing']",['weather data'],['Global']
550,The Rain Prediction in Australia Based Big Data Analysis and Machine Learning Technology,B. Polishchuk; A. Berko; L. Chyrun; M. Bublyk; V. Schuchmann,"Information Systems and Networks Department, Lviv Polytechnic National University, Lviv, Ukraine; Information Systems and Networks Department, Lviv Polytechnic National University, Lviv, Ukraine; Software Department, Ivan Franko National University of Lviv, Lviv, Ukraine; Management andInternational Business Department, Lviv Polytechnic National University, Lviv, Ukraine; Software Engineering Department, West Ukrainian National University, Ternopil, Ukraine",2021 IEEE 16th International Conference on Computer Sciences and Information Technologies (CSIT),27-Dec-21,2021,1,,97,100,"To prevent wildfires, Australian meteorological data over a ten-year period were analysed to determine the days with the highest risk of uncontrolled fires using machine learning algorithms and statistical data.",2766-3639,978-1-6654-4257-2,10.1109/CSIT52700.2021.9648691,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9648691,global warming;wildfires;Australia;machine learning;rain forecasting system;meteorological data;random forest algorithm;machine learning algorithm;statistical data,Earth;Rain;Machine learning algorithms;Fires;Predictive models;Global warming;Australia,,,,21.0,IEEE,27-Dec-21,,,IEEE,IEEE Conferences,['machine learning'],['weather data'],['Australia']
551,Global Ranking of Losses to Photovoltaic Power,A. Kubiniec; K. Seymour; A. Bhat; J. Hazari; T. Haley; M. Perez,"Clean Power Research, Kirkland, WA, United States; Clean Power Research, Kirkland, WA, United States; Clean Power Research, Kirkland, WA, United States; Clean Power Research, Kirkland, WA, United States; Clean Power Research, Kirkland, WA, United States; Clean Power Research, Kirkland, WA, United States",2022 IEEE 49th Photovoltaics Specialists Conference (PVSC),14-Nov-22,2022,,,876,878,"Solar power is growing quickly and especially helpful in achieving decarbonization goals. With more installed solar generation capacity, understanding losses becomes increasingly important for optimizing solar development and planning. This paper will attempt to quantify and attribute solar losses globally, focusing on soiling, snow, and temperature as individual losses and how they relate to each other. This will be done by comparing simulated solar power output under a variety of different scenarios with and without the effects of soiling.",,978-1-7281-6117-4,10.1109/PVSC48317.2022.9938506,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9938506,solar power modeling;soiling;snow;temperature;wildfires,Photovoltaic systems;Snow;Focusing;Low-carbon economy;Planning;Capacity planning,,,,9.0,IEEE,14-Nov-22,,,IEEE,IEEE Conferences,[],['weather data'],['Global']
552,Fuel Moisture Content Forecasting Using Long Short-Term Memory(LSTM) Model,Z. Kang; M. Jiao; Z. Zhou,"School of Resources and Environment, University of Electronic Science and Technology of China, Chengdu, Sichuan, P. R. China; School of Resources and Environment, University of Electronic Science and Technology of China, Chengdu, Sichuan, P. R. China; School of Resources and Environment, University of Electronic Science and Technology of China, Chengdu, Sichuan, P. R. China",IGARSS 2022 - 2022 IEEE International Geoscience and Remote Sensing Symposium,28-Sep-22,2022,,,5672,5675,"Fuel moisture content (FMC) of live vegetation is a crucial wildfire risk and spread rate driver. Current wildfire warnings generally use historical FMC data, which leads to inaccurate predictions. The accuracy of FMC forecasting can provide data support for assessing wildfire danger. Long short-term memory (LSTM) is a special recurrent neural network that learns long-term dependencies. It is suitable for predicting time series with both long-term and short-term dependencies. This study intends to use the LSTM model to forecast FMC. The experiment is divided into three parts: the conventional model; the LSTM model with FMC as the only feature variable; the LSTM model with seven feature variables, included FMC, maximum temperature (Tmax), minimum temperature (Tmin), mean temperature (Tmean), mean dew point temperature (Tdmean), maximum vapor pressure deficit (VPDmax), minimum vapor pressure deficit (VPDmin). The results of the LSTM model outperform that of the conventional model, and the effect of selecting multiple parameters as feature variables reached the best accuracy.",2153-7003,978-1-6654-2792-0,10.1109/IGARSS46834.2022.9883168,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9883168,Fuel Moisture Content (FMC);Long short-term memory(LSTM);Multivariate time series forecasting;PRISM,Recurrent neural networks;Time series analysis;Fires;Moisture;Vegetation;Predictive models;Data models,,,,18.0,IEEE,28-Sep-22,,,IEEE,IEEE Conferences,"['machine learning', 'wireless sensor networks']",['weather data'],[]
553,A Machine Learning Approach to Forest Fire Prediction Through Environment Parameters,S. Pawar; K. Pandit; R. Prabhu; R. Samaga; Geethalaxmi,"Information Science & Engineering, Nitte (Deemed to be University), NMAMIT, Karkala, India; Information Science & Engineering, Nitte (Deemed to be University), NMAMIT, Karkala, India; MCA Department, Nitte (Deemed to be University), NMAMIT, Karkala, India; Electrical & Electronics Engineering, Nitte (Deemed to be University), NMAMIT, Karkala, India; Information Science & Engineering, Canara Engineering College, Mangalore, Karnataka, India",2022 International Conference on Artificial Intelligence and Data Engineering (AIDE),15-Mar-23,2022,,,1,7,"Forest fire is serious problem throughout the world and environment factors are one among the many of the influencing factors to cause forest fire. This paper is focused on predicting forest fire through environment parameters. Every year mass destruction of flora and fauna takes place due to forest fire as it destroys huge area of forest. Artificial intelligence helps to predict the future and using it in predicting forest fires can successfully save wildlife and resources. Oxygen, temperature and humidity are 3 factors on which fire essentially depends. This system predicts the forest fire based on given environment factors such as oxygen, humidity and temperature. The key algorithm used for prediction is logistic regression, support vector machine and multiple linear regression. Accuracy, precision, recall and f-measure are calculated and compared between these models. The system is implemented with given algorithm using only three environment parameters and the proposed method can give robust outcome with small set of data sets.",,978-1-6654-9304-8,10.1109/AIDE57180.2022.10059873,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10059873,machine learning;logistic regression;SVM;forest fire;oxygen;humidity;temperature,Training;Analytical models;Temperature;Wildlife;Forestry;Machine learning;Humidity,,,,28.0,IEEE,15-Mar-23,,,IEEE,IEEE Conferences,[],['weather data'],[]
554,"The Use of Satellites for Analysis of Plantation Locations, Minimize Land Fires and Improve Fertilization",A. A. Avrillia; R. R. Siregar; S. M. Nur; D. F. Murad; Lena,"Information Systems Department, BINUS Online Learning, Bina Nusantara University, Jakarta, Indonesia; Information Systems Department, BINUS Online Learning, Bina Nusantara University, Jakarta, Indonesia; Information Systems Department, BINUS Online Learning, Bina Nusantara University, Jakarta, Indonesia; Information Systems Department, BINUS Online Learning, Bina Nusantara University, Jakarta, Indonesia; Information Systems Department, BINUS Online Learning, Bina Nusantara University, Jakarta, Indonesia",2021 3rd International Conference on Research and Academic Community Services (ICRACOS),09-Feb-22,2021,,,239,244,"This study aims to help monitor a land prone to forest fires and detect soil fertility by designing a centralized monitoring information system using satellites for plantation companies. The analysis was carried out using data from companies such as plantation conditions, weather humidity levels, and temperatures as well as soil conditions which were then outlined in the form of role models and used as the basis for developing an information system for monitoring plantation land. Dashboards are used to display visualizations of important information that are consolidated and organized in one screen so that information can be digested with one view and easy to navigate. Normalized Difference Vegetation Index (NDVI) is used to indicate plantation conditions based on the color spectrum index. NDVI is also used to indicate the health condition of the plant. In addition, rainfall data obtained from satellites is used to forecast the weather for the next few days. The results of this study prove that the satellites used can identify and analyze plantation locations to minimize losses due to fires on plantation land and provide benefits related to a better fertilization process.",,978-1-6654-4334-0,10.1109/ICRACOS53680.2021.9702024,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9702024,satellites;plantation land;dashboard monitoring system;NDVI,Temperature sensors;Temperature measurement;Satellites;Weather forecasting;Vegetation mapping;Companies;Soil,,,,10.0,IEEE,09-Feb-22,,,IEEE,IEEE Conferences,['remote sensing'],['weather data'],[]
555,Retrieval of Fire Temperature and Fire Radiative Power with Short-Wave Infrared Bands of Sentinel-2 Satellite,S. C. Liew,"Centre for Remote Imaging, Sensing and Processing, National University of Singapore, Singapore",IGARSS 2022 - 2022 IEEE International Geoscience and Remote Sensing Symposium,28-Sep-22,2022,,,7755,7758,"We present a new algorithm for retrieving fire temperature and radiative power with the short-wave infrared (SWIR) bands of high resolution satellite sensors. At the SWIR bands, solar input is usually large in comparison to the thermal emission from fires. We overcome this challenge by modeling the unknown ground reflectance with a few basis functions constructed from a spectral library. The algorithm is evaluated using a synthetic dataset generated by forward modeling of the solar reflectance and thermal emission from fires, including the atmospheric effects. The retrieved fire temperature and fire radiative power show high correlation with the actual values.",2153-7003,978-1-6654-2792-0,10.1109/IGARSS46834.2022.9883431,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9883431,Forest fire;short-wave infrared;modeling;fire temperature;fire radiative power,Reflectivity;Temperature sensors;Satellites;Correlation;Computational modeling;Atmospheric modeling;Mathematical models,,,,11.0,IEEE,28-Sep-22,,,IEEE,IEEE Conferences,"['remote sensing', 'simulation']",['weather data'],[]
